,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
115,Hollt,Perceive,0.65,0.897,8.0,-9.88,0.0,0.0362,0.0131,0.818,0.0773,0.0366,123.007,238525.0,4.0
116,Dizharmonia,Ardha Nari Feat. Sazin,0.783,0.463,1.0,-12.559,1.0,0.053,0.000153,0.561,0.0569,0.0338,124.008,362899.0,4.0
117,Haffenfold,Eternal Winters,0.689,0.569,5.0,-9.213,0.0,0.0385,0.00898,0.825,0.0921,0.0856,124.001,375075.0,3.0
118,Erly Tepshi,Cuore,0.799,0.683,4.0,-12.255,0.0,0.0499,0.00541,0.881,0.0866,0.0742,124.987,345608.0,4.0
119,Bastinov,Several Minds,0.754,0.675,1.0,-10.247,0.0,0.0492,0.0196,0.897,0.108,0.039,125.0,431969.0,3.0
120,Santiago Luna,Castaway - Original Mix,0.669,0.855,4.0,-5.081,0.0,0.0434,0.00357,0.903,0.151,0.0369,122.989,284878.0,4.0
121,Nick Devon,Câlin,0.803,0.885,3.0,-9.868,0.0,0.0469,0.0294,0.841,0.0632,0.0332,123.017,437072.0,4.0
122,Xandl,The Matrix,0.804,0.892,5.0,-8.167,1.0,0.0593,0.0339,0.797,0.0906,0.371,122.007,354098.0,4.0
123,Senses Of Mind,Peridot,0.74,0.586,11.0,-9.234,1.0,0.0471,0.0227,0.835,0.671,0.0487,124.0,430000.0,4.0
124,Ran Salman,Clarity,0.724,0.596,8.0,-10.485,1.0,0.0475,0.000834,0.877,0.499,0.209,120.004,428919.0,4.0
125,Fur Coat,Dystopia,0.788,0.822,9.0,-8.931,0.0,0.0402,0.0207,0.882,0.112,0.244,124.001,440277.0,4.0
126,Aalson,Underwater,0.718,0.444,2.0,-10.688,0.0,0.0315,0.00812,0.813,0.0625,0.12,121.993,517808.0,4.0
127,Arude,You Sleep - Mark Hoffen Fancy Rework,0.713,0.7,9.0,-10.399,0.0,0.0456,0.01,0.9,0.126,0.0795,122.001,463006.0,4.0
128,ENØS,Eternal Roamer,0.753,0.831,1.0,-11.248,1.0,0.0378,0.00102,0.856,0.112,0.0358,124.986,387594.0,4.0
129,Julian Wassermann,Endless,0.805,0.932,4.0,-10.283,0.0,0.0514,0.0153,0.937,0.115,0.127,125.0,421856.0,4.0
130,Deeparture,Malfunction - Massano Remix,0.71,0.641,7.0,-12.472,0.0,0.0495,0.14,0.915,0.112,0.0356,123.997,451000.0,4.0
131,Monophase (IT),For Better Days - Original Mix,0.799,0.78,8.0,-8.412,1.0,0.0645,0.283,0.927,0.0876,0.264,124.0,358537.0,4.0
132,Paradoks,Sense of Wonder - Extended Mix,0.739,0.782,2.0,-8.008,1.0,0.053,4.34e-05,0.845,0.0535,0.0511,124.006,409430.0,4.0
133,Black Circle,Inner Tension,0.763,0.772,9.0,-8.77,1.0,0.0465,8.29e-05,0.873,0.0461,0.487,123.985,388025.0,4.0
134,Aquadro,Nuwa,0.721,0.613,7.0,-12.424,1.0,0.0498,0.05,0.81,0.0753,0.0382,124.999,414000.0,4.0
135,Rauschhaus,Ctrl,0.702,0.639,10.0,-14.723,1.0,0.0404,0.321,0.887,0.0808,0.317,122.995,431220.0,4.0
136,Carlo Whale,Under the Weather,0.769,0.665,1.0,-13.138,1.0,0.0566,0.0328,0.913,0.108,0.0578,123.993,407719.0,4.0
137,Hunter/Game,Tears Apart,0.734,0.57,2.0,-10.705,1.0,0.0393,0.00931,0.718,0.111,0.541,124.008,362255.0,4.0
138,Coeus,Echoes,0.805,0.792,2.0,-10.605,0.0,0.0515,0.0298,0.913,0.0729,0.475,120.0,400808.0,4.0
139,Moonwalk,Delta,0.786,0.893,2.0,-9.492,1.0,0.0698,0.0095,0.951,0.108,0.0651,124.988,345926.0,4.0
140,Alexey Union,Kedah,0.801,0.956,0.0,-8.735,1.0,0.0447,0.0116,0.882,0.14,0.0597,122.001,251804.0,4.0
141,Giorgia Angiuli,All The Little Things - Undercatt Remix,0.72,0.772,2.0,-10.38,1.0,0.0443,0.00756,0.864,0.0825,0.0576,123.001,414019.0,4.0
142,Øostil,Safe - Hunter/Game Remix,0.72,0.574,7.0,-9.427,1.0,0.0464,0.0483,0.907,0.104,0.423,125.05,345600.0,4.0
143,WhoMadeWho,Silence & Secrets - Adriatique Remix,0.755,0.891,7.0,-8.592,1.0,0.043,0.0399,0.6,0.0756,0.338,124.007,441898.0,4.0
144,ARTBAT,Our Space - Edit,0.701,0.589,7.0,-10.028,1.0,0.0666,0.0897,0.873,0.101,0.0326,124.011,309677.0,4.0
145,Dyzen,Rain Dance,0.66,0.677,2.0,-9.992,1.0,0.0493,0.00345,0.838,0.112,0.0637,124.0,440258.0,4.0
146,Coeus,New World,0.76,0.883,6.0,-8.254,0.0,0.0594,0.00512,0.786,0.166,0.23,122.007,411158.0,4.0
147,Fat Cosmoe,No Escape,0.802,0.668,5.0,-9.541,0.0,0.0459,0.00897,0.766,0.0988,0.244,123.017,412131.0,4.0
148,Stephan Bodzin,Earth - Mind Against Remix,0.776,0.927,11.0,-7.38,0.0,0.0489,0.0105,0.887,0.0992,0.0334,125.015,450725.0,4.0
149,Øostil,Hibernation,0.854,0.643,10.0,-10.017,0.0,0.071,0.0104,0.863,0.458,0.186,122.991,421463.0,4.0
150,Nick Jojo,Stay Away From Me,0.717,0.823,11.0,-6.339,1.0,0.0374,0.00674,0.82,0.106,0.0355,121.985,383607.0,3.0
151,Morttagua,Hypnos - Soul Button Remix,0.723,0.789,2.0,-9.347,0.0,0.0395,0.00863,0.87,0.119,0.0501,122.008,425902.0,4.0
152,Fur Coat,Inherited Earth,0.668,0.832,2.0,-11.968,1.0,0.0438,0.0652,0.872,0.0964,0.158,123.986,409508.0,4.0
153,Nick Devon,Wanderlust,0.8,0.656,10.0,-9.956,0.0,0.0617,0.00396,0.888,0.0925,0.139,123.993,414476.0,4.0
154,Rinzen,Photon,0.798,0.905,6.0,-9.56,1.0,0.0409,0.0185,0.926,0.541,0.0359,123.007,415512.0,4.0
155,Miyagi,Khan - Darin Epsilon Remix,0.804,0.813,6.0,-10.787,0.0,0.0622,0.0185,0.573,0.0369,0.259,123.007,440976.0,4.0
156,Cary Crank,Spitfire,0.632,0.866,7.0,-10.923,1.0,0.0442,0.0343,0.801,0.0879,0.0847,124.028,426001.0,4.0
157,Erly Tepshi,Endless Souls,0.808,0.499,7.0,-12.616,1.0,0.0625,0.0229,0.913,0.11,0.128,124.992,332160.0,4.0
158,Arnas D,Cordial,0.773,0.884,9.0,-10.02,1.0,0.0432,0.0254,0.874,0.111,0.357,123.002,428392.0,4.0
159,Sascha Braemer,Who Died and Made You King,0.724,0.599,11.0,-15.969,0.0,0.0497,0.0388,0.848,0.107,0.231,119.998,390223.0,4.0
160,Innellea,Confronted Reality,0.624,0.631,11.0,-8.045,0.0,0.0553,0.00392,0.755,0.107,0.22,121.99,402712.0,4.0
161,Colyn,Jatayu,0.706,0.804,2.0,-8.739,1.0,0.045,0.00118,0.865,0.131,0.225,124.006,239668.0,4.0
162,Anyma,Omnia,0.664,0.735,10.0,-10.11,0.0,0.0421,0.00715,0.881,0.115,0.413,125.984,286124.0,4.0
163,Space Motion,Dreamers,0.805,0.886,6.0,-8.129,0.0,0.0685,0.000313,0.877,0.0673,0.272,122.995,403902.0,4.0
164,Argy,Tataki,0.826,0.401,2.0,-11.684,1.0,0.117,0.0154,0.795,0.0999,0.0561,122.017,328781.0,4.0
165,Moonwalk,Enigma,0.768,0.769,2.0,-8.88,1.0,0.0483,0.00136,0.906,0.108,0.108,124.015,377954.0,4.0
166,Solee,Carant,0.729,0.682,1.0,-10.988,1.0,0.0419,0.0455,0.837,0.133,0.204,123.008,460539.0,4.0
167,Evelynka,Your Rain - Moonwalk Remix,0.801,0.637,1.0,-10.494,1.0,0.0484,0.00138,0.877,0.0964,0.0536,123.997,391967.0,4.0
168,Modeplex,Portal,0.703,0.62,9.0,-13.075,0.0,0.0423,0.00106,0.658,0.103,0.203,122.99,407213.0,4.0
169,Oliver Schories,Devon - Oliver Huntemann Remix,0.8,0.777,5.0,-6.526,1.0,0.0405,0.00278,0.892,0.0831,0.249,127.008,398269.0,4.0
170,James Harcourt,Beholden,0.744,0.694,10.0,-7.868,0.0,0.0499,0.0038,0.92,0.18,0.0632,123.008,450003.0,4.0
171,NTO,Beyond Control - KAS:ST Remix,0.573,0.78,6.0,-9.779,1.0,0.0465,0.0168,0.553,0.27,0.183,124.996,435500.0,3.0
172,Hidden Empire,Pont de la Caille,0.678,0.901,7.0,-8.83,1.0,0.0438,0.00168,0.899,0.109,0.0338,123.98,313809.0,4.0
173,Ran Salman,Utopia,0.803,0.765,2.0,-11.554,1.0,0.0589,7.49e-05,0.841,0.0536,0.0645,122.005,441365.0,4.0
174,Emiliano Demarco,Balance,0.75,0.93,5.0,-6.349,1.0,0.0619,0.00206,0.831,0.0886,0.171,126.004,461808.0,4.0
175,Øostil,Drown - Massano Remix,0.788,0.745,2.0,-8.358,1.0,0.0527,0.145,0.85,0.102,0.199,122.001,440950.0,4.0
176,Anyma,Walking,0.499,0.663,2.0,-7.308,1.0,0.0414,0.00972,0.776,0.108,0.0383,122.994,303823.0,4.0
177,ARTBAT,Flame - Edit,0.608,0.936,4.0,-6.254,0.0,0.0583,0.00181,0.736,0.0463,0.0389,127.038,326929.0,4.0
178,Massano,The Feeling - 2022 Remaster,0.716,0.862,11.0,-9.065,0.0,0.0588,0.0017,0.883,0.221,0.0352,123.983,368841.0,4.0
179,Anyma,Running (feat. Meg Myers) - Extended Mix,0.699,0.803,9.0,-7.437,0.0,0.0435,0.0347,0.693,0.115,0.0289,124.979,385437.0,4.0
180,Grigoré,Nautilus,0.654,0.875,7.0,-6.244,1.0,0.0424,0.00989,0.88,0.149,0.057,121.98,314754.0,4.0
